band,spanish,pos,corpus,prob,dictionary,revert,note,verdict,shared,shared_dict
wider,chupar,vblex,succhiare,0.227,,,dictionary offered nothing,corpus,absorb off suck,
wider,frecuentemente,adv,spesso,0.305,frequentemente,,corpus beats dictionary 12.4x,dictionary,,frequently
wider,parado,n,disoccupato,0.43,,,dictionary offered nothing,corpus,unemployed,
wider,recibo,n,ricevuta,0.349,,,dictionary offered nothing,corpus,receipt,
wider,tela,n,stoffa,0.283,tessuto,,corpus beats dictionary 5.0x,both,cloth fabric material,cloth fabric material woven
wider,aburrir,vblex,annoiare,0.23,,,dictionary offered nothing,corpus,bore,
wider,bañar,vblex,fare,0.234,,,dictionary offered nothing,corpus,clean,
wider,doler,vblex,fare,0.241,,,dictionary offered nothing,corpus,about cause pain physical,
wider,herir,vblex,ferire,0.293,,,dictionary offered nothing,corpus,hurt injure wound,
wider,festejar,vblex,festeggiare,0.166,,,dictionary offered nothing,corpus,celebrate,
wider,pasaje,n,biglietto,0.218,passaggio,,corpus beats dictionary 1.7x,both,ticket,passage passing
wider,predecir,vblex,prevedere,0.33,predire,,corpus beats dictionary 5.7x,dictionary,,predict
wider,triple,adj,triplice,0.176,triplo,,corpus beats dictionary 4.0x,both,threefold triple,threefold triple
wider,ascenso,n,promozione,0.191,,,dictionary offered nothing,corpus,promotion,
wider,agotar,vblex,esaurire,0.257,,,dictionary offered nothing,corpus,exhaust,
wider,detención,n,arresto,0.4,detenzione,,corpus beats dictionary 2.1x,both,arrest,detention
wider,entusiasmo,n,entusiasmo,0.632,,,dictionary offered nothing,corpus,enthusiasm,
wider,desayunar,vblex,fare,0.187,,,dictionary offered nothing,corpus,have,
wider,justamente,adv,proprio,0.407,giustamente,,corpus beats dictionary 6.7x,both,exactly,fairly justly
wider,tocado,n,cappello,0.311,,,dictionary offered nothing,neither,,
wider,ajuste,n,adeguamento,0.306,aggiustamento,,corpus beats dictionary 3.6x,both,adjustment,adjustment
wider,conservador,n,conservatorio,0.548,conservatore,,corpus beats dictionary 27.4x,neither,,
wider,suprimir,vblex,eliminare,0.231,,,dictionary offered nothing,neither,,
wider,pinche,n,cazzo,0.21,,,dictionary offered nothing,neither,,
wider,asociado,n,partner,0.24,,,dictionary offered nothing,neither,,
wider,evidentemente,adv,ovviamente,0.29,evidentemente,,corpus beats dictionary 2.0x,both,clearly evidently obviously,clearly evidently obviously
wider,full,n,full,0.174,,,dictionary offered nothing,corpus,full house,
wider,ida,n,andata,0.16,,,dictionary offered nothing,corpus,journey leg outward,
wider,lealtad,n,lealtà,0.431,fedeltà,,corpus beats dictionary 3.4x,both,loyalty,loyalty
wider,marta,n,zibellino,0.326,,,dictionary offered nothing,neither,,
wider,enfadar,vblex,arrabbiare,0.278,,,dictionary offered nothing,corpus,angry get,
wider,morena,n,bruno,0.159,,,dictionary offered nothing,corpus,equivalent,
wider,acoso,n,molestia,0.297,,,dictionary offered nothing,corpus,harassment,
wider,colón,n,colono,0.193,,,dictionary offered nothing,neither,,
wider,amanecer,n,alba,0.451,,,dictionary offered nothing,corpus,dawn,
wider,exclusiva,n,esclusiva,0.173,,,dictionary offered nothing,corpus,exclusive,
wider,majestad,n,maestà,0.263,,,dictionary offered nothing,corpus,majesty,
wider,maya,adj,lingua,0.195,,,dictionary offered nothing,neither,,
wider,secuestro,n,rapimento,0.454,,,dictionary offered nothing,corpus,kidnapping,
wider,sexto,n,senso,0.156,,,dictionary offered nothing,neither,,
wider,maldecir,vblex,maledire,0.174,,,dictionary offered nothing,corpus,curse,
wider,alba,n,alba,0.386,,,dictionary offered nothing,corpus,dawn,
wider,contraste,n,contrasto,0.291,,,dictionary offered nothing,corpus,contrast,
wider,barrer,vblex,spazzare,0.171,,,dictionary offered nothing,corpus,sweep,
wider,dirigente,n,leader,0.295,dirigente,,corpus beats dictionary 2.3x,both,leader,leader
wider,escasez,n,carenza,0.294,scarsità,,corpus beats dictionary 2.5x,both,shortage,scarcity shortage
wider,especialista,adj,specializzato,0.151,,,dictionary offered nothing,neither,,
wider,peinar,vblex,pettinare,0.16,,,dictionary offered nothing,corpus,comb,
wider,harto,adj,stufo,0.176,,,dictionary offered nothing,corpus,fed stuffed tired,
wider,implementación,n,attuazione,0.416,,,dictionary offered nothing,corpus,implementation,
wider,laguna,n,lacuna,0.346,laguna,,corpus beats dictionary 13.0x,both,gap,lagoon
wider,navarro,adj,affetto,0.277,,,dictionary offered nothing,neither,,
wider,obligatorio,adj,obbligatorio,0.524,,,dictionary offered nothing,corpus,obligatory,
wider,pelotudo,adj,insegnare,0.405,,,dictionary offered nothing,neither,,
wider,pelotudo,n,coglione,0.265,,,dictionary offered nothing,corpus,idiot,
wider,sed,n,sete,0.513,,,dictionary offered nothing,corpus,thirst,
wider,delinquir,vblex,trasformare,0.178,,,dictionary offered nothing,neither,,
wider,autora,n,autore,0.413,,,dictionary offered nothing,corpus,author,
wider,descenso,n,riduzione,0.191,discesa,,corpus beats dictionary 3.6x,dictionary,,descent
wider,calzar,vblex,portare,0.296,,,dictionary offered nothing,corpus,wear,
wider,mami,n,mamma,0.28,,,dictionary offered nothing,neither,,
wider,desvestir,vblex,spogliare,0.162,,,dictionary offered nothing,corpus,undress,
wider,norteamericano,adj,americano,0.687,nordamericano,,corpus beats dictionary 20.9x,both,america american states united,american north
wider,reparto,n,ripartizione,0.299,,,dictionary offered nothing,neither,,
wider,sollozar,vblex,piangere,0.213,,,dictionary offered nothing,neither,,
wider,cuartel,n,quartier,0.18,,,dictionary offered nothing,neither,,
wider,guapo,adj,bello,0.461,,,dictionary offered nothing,corpus,good handsome looking man,
wider,reñir,vblex,litigare,0.155,,,dictionary offered nothing,corpus,fight quarrel,
wider,masculino,adj,maschile,0.298,mascolino,,corpus beats dictionary 17.3x,both,male,male
wider,ampliación,n,allargamento,0.499,ampliamento,,corpus beats dictionary 1.5x,both,enlargement extension widening,broadening expansion widening
wider,bala,n,proiettile,0.212,,,dictionary offered nothing,corpus,bullet,
